Address,latitude,longitude,quadrant
5 Avenue / 3 Street SE,51.04817598,-114.0554787,SE
5 Avenue / 7 Street SW,51.04881996,-114.0786008,SW
5 Avenue btw 1 Street and 2 Street SW,51.04848537,-114.06642,SW
9 Avenue / 3 Street SE,51.04439014,-114.0556637,SE
9 Avenue / 5 Street SW,51.04488494,-114.0738336,SW
4 Avenue / 10 Street SW,51.04917679,-114.0868196,SW
4 Avenue / 9 Street SW,51.04996013,-114.0835215,SW
4 Avenue / Macleod Trail S,51.0491958,-114.057837,SE
5 Avenue / 1 Street SE,51.04833141,-114.0603862,SE
Bow Trail / 6 Avenue SW,51.04749304,-114.0913813,SW
6 Avenue / 1 Street SE,51.04723757,-114.0606748,SE
7 Avenue / 8 Street SW,51.04703023,-114.0811841,SW
8 Avenue / 11 Street SW,51.04625799,-114.0886408,SW
Riverfront Avenue / 1 Street SE,51.05113127,-114.0600141,SE
